abn,remuneration_quartile,reporting_period,avg_total_remuneration
99140329059,Lower middle quartile,2024 - 25,"132,000.00"
99140329059,Upper quartile,2023 - 24,"228,000.00"
99140329059,Upper middle quartile,2023 - 24,"173,000.00"
99140329059,Total workforce,2023 - 24,"165,000.00"
99140329059,Lower quartile,2023 - 24,"114,000.00"
99136382324,Lower middle quartile,2024 - 25,"61,000.00"
99136382324,Upper quartile,2023 - 24,"118,000.00"
99136382324,Upper middle quartile,2024 - 25,"76,000.00"
99136382324,Total workforce,2023 - 24,"83,000.00"
99136382324,Lower quartile,2023 - 24,"67,000.00"
99130701772,Lower middle quartile,2024 - 25,"72,000.00"
99130701772,Upper quartile,2023 - 24,"167,000.00"
99130701772,Upper middle quartile,2024 - 25,"88,000.00"
99130701772,Total workforce,2023 - 24,"97,000.00"
99130701772,Lower quartile,2023 - 24,"60,000.00"
99128575619,Lower middle quartile,2024 - 25,"216,000.00"
99128575619,Upper quartile,2023 - 24,"373,000.00"
99128575619,Upper middle quartile,2023 - 24,"276,000.00"
99128575619,Total workforce,2023 - 24,"244,000.00"
99128575619,Lower quartile,2023 - 24,"109,000.00"
99127669229,Lower middle quartile,2024 - 25,"80,000.00"
99127669229,Upper quartile,2023 - 24,"147,000.00"
99127669229,Upper middle quartile,2023 - 24,"87,000.00"
99127669229,Total workforce,2023 - 24,"91,000.00"
99127669229,Lower quartile,2023 - 24,"58,000.00"
99124633263,Lower middle quartile,2024 - 25,"94,000.00"
99122097590,Lower middle quartile,2024 - 25,"66,000.00"
99122097590,Upper quartile,2023 - 24,"72,000.00"
99122097590,Upper middle quartile,2023 - 24,"56,000.00"
99122097590,Total workforce,2023 - 24,"57,000.00"
99122097590,Lower quartile,2023 - 24,"49,000.00"
99117658812,Lower middle quartile,2024 - 25,"86,000.00"
99117658812,Upper quartile,2023 - 24,"193,000.00"
99117658812,Upper middle quartile,2023 - 24,"106,000.00"
99117658812,Total workforce,2023 - 24,"113,000.00"
99117658812,Lower quartile,2023 - 24,"71,000.00"
99112320804,Lower middle quartile,2024 - 25,"115,000.00"
99109553504,Lower middle quartile,2024 - 25,"94,000.00"
99109553504,Upper quartile,2023 - 24,"109,000.00"
99109553504,Upper middle quartile,2023 - 24,"85,000.00"
99109553504,Total workforce,2023 - 24,"82,000.00"
99109553504,Lower quartile,2023 - 24,"61,000.00"
99101474542,Lower middle quartile,2024 - 25,"99,000.00"
99101213263,Lower middle quartile,2024 - 25,"91,000.00"
99101213263,Upper quartile,2023 - 24,"167,000.00"
99101213263,Upper middle quartile,2023 - 24,"104,000.00"
99101213263,Total workforce,2023 - 24,"107,000.00"
99101213263,Lower quartile,2023 - 24,"73,000.00"
99098885539,Lower middle quartile,2024 - 25,"107,000.00"
99098885539,Upper quartile,2023 - 24,"209,000.00"
99098885539,Upper middle quartile,2023 - 24,"136,000.00"
99098885539,Total workforce,2023 - 24,"132,000.00"
99098885539,Lower quartile,2023 - 24,"81,000.00"
99096813473,Upper quartile,2023 - 24,"332,000.00"
99096813473,Upper middle quartile,2023 - 24,"260,000.00"
99096813473,Total workforce,2023 - 24,"237,000.00"
99096813473,Lower quartile,2023 - 24,"128,000.00"
99096813473,Lower middle quartile,2023 - 24,"229,000.00"
99091921791,Lower middle quartile,2024 - 25,"175,000.00"
99091921791,Upper quartile,2023 - 24,"220,000.00"
99091921791,Upper middle quartile,2023 - 24,"186,000.00"
99091921791,Total workforce,2023 - 24,"172,000.00"
99091921791,Lower quartile,2023 - 24,"118,000.00"
99089982392,Lower middle quartile,2024 - 25,"108,000.00"
99089982392,Upper quartile,2023 - 24,"267,000.00"
99089982392,Upper middle quartile,2023 - 24,"151,000.00"
99089982392,Total workforce,2023 - 24,"149,000.00"
99089982392,Lower quartile,2023 - 24,"76,000.00"
99088279761,Lower middle quartile,2024 - 25,"175,000.00"
99088279761,Upper quartile,2023 - 24,"305,000.00"
99088279761,Upper middle quartile,2023 - 24,"204,000.00"
99088279761,Total workforce,2023 - 24,"195,000.00"
99088279761,Lower quartile,2023 - 24,"113,000.00"
99088209205,Lower quartile,2024 - 25,"74,000.00"
99088209205,Lower middle quartile,2024 - 25,"80,000.00"
99086383977,Lower middle quartile,2024 - 25,"178,000.00"
99086383977,Upper quartile,2023 - 24,"487,000.00"
99086383977,Upper middle quartile,2023 - 24,"213,000.00"
99086383977,Total workforce,2023 - 24,"246,000.00"
99086383977,Lower quartile,2023 - 24,"121,000.00"
99086048562,Lower middle quartile,2024 - 25,"155,000.00"
99086048562,Upper quartile,2023 - 24,"305,000.00"
99086048562,Upper middle quartile,2023 - 24,"178,000.00"
99086048562,Total workforce,2023 - 24,"185,000.00"
99086048562,Lower quartile,2023 - 24,"111,000.00"
99082842582,Lower middle quartile,2024 - 25,"79,000.00"
99082842582,Upper quartile,2023 - 24,"120,000.00"
99082842582,Upper middle quartile,2024 - 25,"85,000.00"
99082842582,Total workforce,2023 - 24,"87,000.00"
99082842582,Lower quartile,2023 - 24,"70,000.00"
99082274324,Upper quartile,2023 - 24,"194,000.00"
99082274324,Upper middle quartile,2023 - 24,"120,000.00"
99082274324,Total workforce,2023 - 24,"122,000.00"
99082274324,Lower quartile,2023 - 24,"76,000.00"
99082274324,Lower middle quartile,2023 - 24,"97,000.00"
99077149529,Lower middle quartile,2024 - 25,"112,000.00"
99077149529,Upper quartile,2023 - 24,"230,000.00"
99077149529,Upper middle quartile,2023 - 24,"131,000.00"
99077149529,Total workforce,2023 - 24,"132,000.00"
99077149529,Lower quartile,2023 - 24,"73,000.00"
99076246752,Lower middle quartile,2024 - 25,"130,000.00"
99075432254,Lower middle quartile,2024 - 25,"84,000.00"
99075432254,Upper quartile,2023 - 24,"92,000.00"
99075432254,Upper middle quartile,2023 - 24,"76,000.00"
99075432254,Total workforce,2023 - 24,"73,000.00"
99075432254,Lower quartile,2023 - 24,"60,000.00"
99075416054,Lower middle quartile,2024 - 25,"103,000.00"
99075416054,Upper quartile,2023 - 24,"231,000.00"
99075416054,Upper middle quartile,2023 - 24,"138,000.00"
99075416054,Total workforce,2023 - 24,"130,000.00"
99075416054,Lower quartile,2023 - 24,"61,000.00"
99075340724,Lower middle quartile,2024 - 25,"135,000.00"
99075340724,Upper quartile,2023 - 24,"204,000.00"
99075340724,Upper middle quartile,2023 - 24,"133,000.00"
99075340724,Total workforce,2023 - 24,"142,000.00"
99075340724,Lower quartile,2023 - 24,"108,000.00"
99074572919,Lower middle quartile,2024 - 25,"118,000.00"
99074572919,Upper quartile,2023 - 24,"260,000.00"
99074572919,Upper middle quartile,2023 - 24,"152,000.00"
99074572919,Total workforce,2023 - 24,"150,000.00"
99074572919,Lower quartile,2023 - 24,"78,000.00"
99074126971,Lower middle quartile,2024 - 25,"103,000.00"
99074126971,Upper quartile,2023 - 24,"199,000.00"
99074126971,Upper middle quartile,2023 - 24,"124,000.00"
99074126971,Total workforce,2023 - 24,"126,000.00"
99074126971,Lower quartile,2023 - 24,"81,000.00"
99073566462,Lower middle quartile,2024 - 25,"95,000.00"
99073566462,Upper quartile,2023 - 24,"145,000.00"
99073566462,Upper middle quartile,2023 - 24,"108,000.00"
99073566462,Total workforce,2023 - 24,"102,000.00"
