abn,remuneration_quartile,reporting_period,avg_total_remuneration
34000025794,Total workforce,2023 - 24,"128,000.00"
34000025794,Lower quartile,2023 - 24,"77,000.00"
34000025794,Lower middle quartile,2023 - 24,"102,000.00"
33929604309,Upper quartile,2023 - 24,"116,000.00"
33929604309,Upper middle quartile,2023 - 24,"71,000.00"
33929604309,Total workforce,2023 - 24,"77,000.00"
33929604309,Lower quartile,2023 - 24,"57,000.00"
33929604309,Lower middle quartile,2023 - 24,"63,000.00"
33929275686,Upper quartile,2023 - 24,"161,000.00"
33929275686,Upper middle quartile,2024 - 25,"124,000.00"
33929275686,Total workforce,2023 - 24,"113,000.00"
33929275686,Lower quartile,2023 - 24,"73,000.00"
33929275686,Lower middle quartile,2023 - 24,"97,000.00"
33905968697,Upper middle quartile,2024 - 25,"117,000.00"
33905968697,Total workforce,2023 - 24,"101,000.00"
33905968697,Lower quartile,2023 - 24,"68,000.00"
33905968697,Lower middle quartile,2023 - 24,"91,000.00"
33834165805,Upper quartile,2023 - 24,"159,000.00"
33834165805,Upper middle quartile,2024 - 25,"137,000.00"
33834165805,Total workforce,2023 - 24,"113,000.00"
33834165805,Lower quartile,2023 - 24,"66,000.00"
33834165805,Lower middle quartile,2023 - 24,"93,000.00"
33650567641,Upper quartile,2023 - 24,"161,000.00"
33650567641,Upper middle quartile,2023 - 24,"99,000.00"
33650567641,Total workforce,2023 - 24,"104,000.00"
33650567641,Lower quartile,2023 - 24,"71,000.00"
33650567641,Lower middle quartile,2023 - 24,"85,000.00"
33646485252,Upper quartile,2023 - 24,"93,000.00"
33646485252,Upper middle quartile,2023 - 24,"73,000.00"
33646485252,Total workforce,2023 - 24,"70,000.00"
33646485252,Lower quartile,2023 - 24,"52,000.00"
33646485252,Lower middle quartile,2023 - 24,"64,000.00"
33616996840,Upper quartile,2023 - 24,"270,000.00"
33616996840,Upper middle quartile,2023 - 24,"186,000.00"
33616996840,Total workforce,2023 - 24,"175,000.00"
33616996840,Lower quartile,2023 - 24,"97,000.00"
33616996840,Lower middle quartile,2023 - 24,"147,000.00"
33615728795,Upper quartile,2023 - 24,"277,000.00"
33615728795,Upper middle quartile,2023 - 24,"203,000.00"
33615728795,Total workforce,2023 - 24,"198,000.00"
33615728795,Lower quartile,2023 - 24,"140,000.00"
33615728795,Lower middle quartile,2023 - 24,"173,000.00"
33615145072,Upper quartile,2023 - 24,"105,000.00"
33615145072,Upper middle quartile,2023 - 24,"80,000.00"
33615145072,Total workforce,2023 - 24,"83,000.00"
33615145072,Lower quartile,2023 - 24,"69,000.00"
33615145072,Lower middle quartile,2023 - 24,"79,000.00"
33606679038,Upper quartile,2023 - 24,"104,000.00"
33606679038,Upper middle quartile,2023 - 24,"79,000.00"
33606679038,Total workforce,2023 - 24,"79,000.00"
33606679038,Lower quartile,2023 - 24,"64,000.00"
33606679038,Lower middle quartile,2023 - 24,"70,000.00"
33603224728,Upper quartile,2023 - 24,"184,000.00"
33603224728,Upper middle quartile,2023 - 24,"111,000.00"
33603224728,Total workforce,2023 - 24,"113,000.00"
33603224728,Lower quartile,2023 - 24,"71,000.00"
33603224728,Lower middle quartile,2023 - 24,"85,000.00"
33586321325,Upper quartile,2023 - 24,"102,000.00"
33586321325,Upper middle quartile,2023 - 24,"79,000.00"
33586321325,Total workforce,2023 - 24,"81,000.00"
33586321325,Lower quartile,2023 - 24,"71,000.00"
33586321325,Lower middle quartile,2023 - 24,"74,000.00"
33436160489,Upper quartile,2023 - 24,"124,000.00"
33436160489,Upper middle quartile,2023 - 24,"83,000.00"
33436160489,Total workforce,2023 - 24,"84,000.00"
33436160489,Lower quartile,2023 - 24,"59,000.00"
33436160489,Lower middle quartile,2023 - 24,"70,000.00"
33434271424,Upper quartile,2023 - 24,"157,000.00"
33434271424,Upper middle quartile,2023 - 24,"133,000.00"
33434271424,Total workforce,2023 - 24,"120,000.00"
33434271424,Lower quartile,2023 - 24,"82,000.00"
33434271424,Lower middle quartile,2023 - 24,"109,000.00"
33423389441,Upper quartile,2023 - 24,"176,000.00"
33423389441,Upper middle quartile,2023 - 24,"126,000.00"
33423389441,Total workforce,2023 - 24,"116,000.00"
33423389441,Lower quartile,2023 - 24,"70,000.00"
33423389441,Lower middle quartile,2023 - 24,"94,000.00"
33378138154,Upper middle quartile,2023 - 24,"78,000.00"
33378138154,Total workforce,2023 - 24,"79,000.00"
33378138154,Lower quartile,2023 - 24,"56,000.00"
33378138154,Lower middle quartile,2023 - 24,"67,000.00"
33370684005,Upper quartile,2023 - 24,"214,000.00"
33370684005,Upper middle quartile,2024 - 25,"122,000.00"
33370684005,Total workforce,2023 - 24,"124,000.00"
33370684005,Lower quartile,2023 - 24,"69,000.00"
33370684005,Lower middle quartile,2023 - 24,"91,000.00"
33293441659,Upper quartile,2023 - 24,"159,000.00"
33293441659,Upper middle quartile,2024 - 25,"103,000.00"
33293441659,Total workforce,2023 - 24,"91,000.00"
33293441659,Lower quartile,2023 - 24,"45,000.00"
33293441659,Lower middle quartile,2023 - 24,"71,000.00"
33266090956,Upper quartile,2023 - 24,"137,000.00"
33266090956,Upper middle quartile,2023 - 24,"92,000.00"
33266090956,Total workforce,2023 - 24,"91,000.00"
33266090956,Lower quartile,2023 - 24,"63,000.00"
33266090956,Lower middle quartile,2023 - 24,"75,000.00"
33174490373,Upper quartile,2023 - 24,"125,000.00"
33174490373,Upper middle quartile,2023 - 24,"98,000.00"
33174490373,Total workforce,2023 - 24,"94,000.00"
33174490373,Lower quartile,2023 - 24,"71,000.00"
33174490373,Lower middle quartile,2023 - 24,"85,000.00"
33169308187,Upper quartile,2023 - 24,"449,000.00"
33169308187,Upper middle quartile,2023 - 24,"232,000.00"
33169308187,Total workforce,2023 - 24,"235,000.00"
33169308187,Lower quartile,2023 - 24,"103,000.00"
33169308187,Lower middle quartile,2023 - 24,"161,000.00"
33169204059,Upper quartile,2023 - 24,"200,000.00"
33169204059,Upper middle quartile,2023 - 24,"119,000.00"
33169204059,Total workforce,2023 - 24,"121,000.00"
33169204059,Lower quartile,2023 - 24,"73,000.00"
33169204059,Lower middle quartile,2023 - 24,"93,000.00"
33169157911,Upper quartile,2023 - 24,"504,000.00"
33169157911,Upper middle quartile,2023 - 24,"270,000.00"
33169157911,Total workforce,2023 - 24,"274,000.00"
33169157911,Lower quartile,2023 - 24,"127,000.00"
33169157911,Lower middle quartile,2023 - 24,"197,000.00"
33163260204,Upper quartile,2023 - 24,"96,000.00"
33163260204,Upper middle quartile,2023 - 24,"67,000.00"
33163260204,Total workforce,2023 - 24,"65,000.00"
33163260204,Lower quartile,2023 - 24,"40,000.00"
33163260204,Lower middle quartile,2023 - 24,"59,000.00"
33159809328,Upper quartile,2023 - 24,"166,000.00"
33159809328,Upper middle quartile,2023 - 24,"104,000.00"
33159809328,Total workforce,2023 - 24,"102,000.00"
33159809328,Lower quartile,2023 - 24,"61,000.00"
33159809328,Lower middle quartile,2023 - 24,"76,000.00"
33159330980,Upper quartile,2023 - 24,"157,000.00"
33159330980,Upper middle quartile,2023 - 24,"133,000.00"
33159330980,Total workforce,2023 - 24,"121,000.00"
33159330980,Lower quartile,2023 - 24,"76,000.00"
33159330980,Lower middle quartile,2023 - 24,"118,000.00"
33146901082,Upper quartile,2023 - 24,"211,000.00"
33146901082,Upper middle quartile,2023 - 24,"124,000.00"
33146901082,Total workforce,2023 - 24,"123,000.00"
33146901082,Lower quartile,2023 - 24,"70,000.00"
33146901082,Lower middle quartile,2023 - 24,"91,000.00"
33146787395,Upper quartile,2023 - 24,"359,000.00"
33146787395,Upper middle quartile,2023 - 24,"214,000.00"
33146787395,Total workforce,2023 - 24,"204,000.00"
33146787395,Lower quartile,2023 - 24,"89,000.00"
33146787395,Lower middle quartile,2023 - 24,"152,000.00"
33143880219,Upper middle quartile,2024 - 25,"100,000.00"
33143880219,Total workforce,2023 - 24,"94,000.00"
33143880219,Lower quartile,2023 - 24,"75,000.00"
33143880219,Lower middle quartile,2023 - 24,"90,000.00"
33141099041,Upper quartile,2023 - 24,"172,000.00"
33141099041,Upper middle quartile,2023 - 24,"114,000.00"
33141099041,Total workforce,2023 - 24,"116,000.00"
33141099041,Lower quartile,2023 - 24,"80,000.00"
33141099041,Lower middle quartile,2023 - 24,"96,000.00"
33140806695,Upper quartile,2023 - 24,"383,000.00"
33140806695,Upper middle quartile,2023 - 24,"194,000.00"
33140806695,Total workforce,2023 - 24,"200,000.00"
33140806695,Lower quartile,2023 - 24,"96,000.00"
33140806695,Lower middle quartile,2023 - 24,"129,000.00"
33128109071,Upper quartile,2023 - 24,"240,000.00"
33128109071,Upper middle quartile,2023 - 24,"180,000.00"
33128109071,Total workforce,2023 - 24,"180,000.00"
33128109071,Lower quartile,2023 - 24,"133,000.00"
33128109071,Lower middle quartile,2023 - 24,"171,000.00"
33125822068,Upper quartile,2023 - 24,"315,000.00"
33125822068,Upper middle quartile,2023 - 24,"170,000.00"
33125822068,Total workforce,2023 - 24,"171,000.00"
33125822068,Lower quartile,2023 - 24,"81,000.00"
33125822068,Lower middle quartile,2023 - 24,"118,000.00"
33123401329,Upper quartile,2023 - 24,"170,000.00"
33123401329,Upper middle quartile,2023 - 24,"116,000.00"
33123401329,Total workforce,2023 - 24,"117,000.00"
33123401329,Lower quartile,2023 - 24,"83,000.00"
33123401329,Lower middle quartile,2023 - 24,"99,000.00"
33119755627,Upper quartile,2023 - 24,"102,000.00"
33119755627,Upper middle quartile,2023 - 24,"70,000.00"
33119755627,Total workforce,2023 - 24,"73,000.00"
33119755627,Lower quartile,2023 - 24,"56,000.00"
33119755627,Lower middle quartile,2023 - 24,"66,000.00"
33118549910,Upper quartile,2023 - 24,"548,000.00"
33118549910,Upper middle quartile,2023 - 24,"204,000.00"
33118549910,Total workforce,2023 - 24,"247,000.00"
33118549910,Lower quartile,2023 - 24,"93,000.00"
33118549910,Lower middle quartile,2023 - 24,"144,000.00"
33112713746,Upper quartile,2023 - 24,"140,000.00"
33112713746,Upper middle quartile,2023 - 24,"94,000.00"
33112713746,Total workforce,2023 - 24,"95,000.00"
33112713746,Lower quartile,2023 - 24,"68,000.00"
33112713746,Lower middle quartile,2023 - 24,"77,000.00"
33112241522,Upper quartile,2023 - 24,"222,000.00"
33112241522,Upper middle quartile,2023 - 24,"123,000.00"
33112241522,Total workforce,2023 - 24,"123,000.00"
33112241522,Lower quartile,2023 - 24,"65,000.00"
33112241522,Lower middle quartile,2023 - 24,"84,000.00"
33112231866,Upper quartile,2023 - 24,"62,000.00"
33112231866,Upper middle quartile,2023 - 24,"45,000.00"
33112231866,Total workforce,2023 - 24,"43,000.00"
33112231866,Lower quartile,2023 - 24,"29,000.00"
33112231866,Lower middle quartile,2023 - 24,"37,000.00"
33107782196,Upper quartile,2023 - 24,"113,000.00"
33107782196,Upper middle quartile,2023 - 24,"81,000.00"
33107782196,Total workforce,2023 - 24,"85,000.00"
33107782196,Lower quartile,2023 - 24,"71,000.00"
33107782196,Lower middle quartile,2023 - 24,"76,000.00"
33105775826,Upper quartile,2023 - 24,"73,000.00"
33105775826,Upper middle quartile,2023 - 24,"63,000.00"
33105775826,Total workforce,2023 - 24,"55,000.00"
33105775826,Lower quartile,2023 - 24,"34,000.00"
33105775826,Lower middle quartile,2023 - 24,"50,000.00"
33104195057,Upper quartile,2023 - 24,"694,000.00"
33104195057,Upper middle quartile,2023 - 24,"271,000.00"
33104195057,Total workforce,2023 - 24,"293,000.00"
33104195057,Lower quartile,2023 - 24,"85,000.00"
33104195057,Lower middle quartile,2023 - 24,"128,000.00"
33102417032,Upper quartile,2023 - 24,"757,000.00"
33102417032,Upper middle quartile,2023 - 24,"454,000.00"
33102417032,Total workforce,2023 - 24,"446,000.00"
33102417032,Lower quartile,2023 - 24,"230,000.00"
33102417032,Lower middle quartile,2023 - 24,"343,000.00"
33092951043,Upper quartile,2023 - 24,"240,000.00"
33092951043,Upper middle quartile,2023 - 24,"163,000.00"
33092951043,Total workforce,2023 - 24,"152,000.00"
33092951043,Lower quartile,2023 - 24,"96,000.00"
33092951043,Lower middle quartile,2023 - 24,"113,000.00"
33092697151,Upper quartile,2023 - 24,"180,000.00"
33092697151,Upper middle quartile,2023 - 24,"100,000.00"
33092697151,Total workforce,2023 - 24,"107,000.00"
33092697151,Lower quartile,2023 - 24,"68,000.00"
33092697151,Lower middle quartile,2023 - 24,"82,000.00"
33087651661,Upper quartile,2023 - 24,"227,000.00"
33087651661,Upper middle quartile,2023 - 24,"125,000.00"
33087651661,Total workforce,2023 - 24,"132,000.00"
33087651661,Lower quartile,2023 - 24,"80,000.00"
33087651661,Lower middle quartile,2023 - 24,"98,000.00"
33082157846,Upper quartile,2023 - 24,"194,000.00"
33082157846,Upper middle quartile,2023 - 24,"116,000.00"
33082157846,Total workforce,2023 - 24,"118,000.00"
33082157846,Lower quartile,2023 - 24,"70,000.00"
33082157846,Lower middle quartile,2023 - 24,"93,000.00"
33082026551,Upper quartile,2023 - 24,"386,000.00"
33082026551,Upper middle quartile,2023 - 24,"207,000.00"
33082026551,Total workforce,2023 - 24,"213,000.00"
33082026551,Lower quartile,2023 - 24,"102,000.00"
33082026551,Lower middle quartile,2023 - 24,"156,000.00"
33079832358,Upper quartile,2023 - 24,"305,000.00"
33079832358,Upper middle quartile,2023 - 24,"195,000.00"
33079832358,Total workforce,2023 - 24,"195,000.00"
33079832358,Lower quartile,2023 - 24,"118,000.00"
33079832358,Lower middle quartile,2023 - 24,"161,000.00"
33074318602,Upper quartile,2023 - 24,"147,000.00"
33074318602,Upper middle quartile,2023 - 24,"74,000.00"
33074318602,Total workforce,2023 - 24,"85,000.00"
33074318602,Lower quartile,2023 - 24,"54,000.00"
33074318602,Lower middle quartile,2023 - 24,"64,000.00"
33069720243,Upper quartile,2023 - 24,"303,000.00"
33069720243,Upper middle quartile,2023 - 24,"164,000.00"
33069720243,Total workforce,2023 - 24,"166,000.00"
33069720243,Lower quartile,2023 - 24,"88,000.00"
33069720243,Lower middle quartile,2023 - 24,"110,000.00"
33059959456,Upper middle quartile,2024 - 25,"112,000.00"
33059959456,Total workforce,2023 - 24,"111,000.00"
33059959456,Lower quartile,2023 - 24,"80,000.00"
33059959456,Lower middle quartile,2023 - 24,"96,000.00"
33059495251,Upper quartile,2023 - 24,"164,000.00"
33059495251,Upper middle quartile,2023 - 24,"113,000.00"
33059495251,Total workforce,2023 - 24,"114,000.00"
33059495251,Lower quartile,2023 - 24,"86,000.00"
33059495251,Lower middle quartile,2023 - 24,"95,000.00"
33051950068,Upper quartile,2023 - 24,"263,000.00"
33051950068,Upper middle quartile,2023 - 24,"153,000.00"
33051950068,Total workforce,2023 - 24,"157,000.00"
33051950068,Lower quartile,2023 - 24,"93,000.00"
33051950068,Lower middle quartile,2023 - 24,"119,000.00"
33051775556,Upper quartile,2023 - 24,"222,000.00"
33051775556,Upper middle quartile,2023 - 24,"155,000.00"
33051775556,Total workforce,2023 - 24,"151,000.00"
33051775556,Lower quartile,2023 - 24,"101,000.00"
33051775556,Lower middle quartile,2023 - 24,"126,000.00"
33010655820,Upper quartile,2023 - 24,"185,000.00"
33010655820,Upper middle quartile,2023 - 24,"92,000.00"
33010655820,Total workforce,2023 - 24,"105,000.00"
33010655820,Lower quartile,2023 - 24,"67,000.00"
33010655820,Lower middle quartile,2023 - 24,"77,000.00"
33010452936,Upper quartile,2023 - 24,"109,000.00"
33010452936,Upper middle quartile,2023 - 24,"79,000.00"
33010452936,Total workforce,2023 - 24,"82,000.00"
33010452936,Lower quartile,2023 - 24,"67,000.00"
33010452936,Lower middle quartile,2023 - 24,"74,000.00"
33010333418,Upper quartile,2023 - 24,"132,000.00"
33010333418,Upper middle quartile,2024 - 25,"114,000.00"
33010333418,Total workforce,2023 - 24,"101,000.00"
33010333418,Lower quartile,2023 - 24,"70,000.00"
33010333418,Lower middle quartile,2023 - 24,"87,000.00"
33010200567,Upper middle quartile,2024 - 25,"75,000.00"
33010200567,Total workforce,2023 - 24,"136,000.00"
33010200567,Lower quartile,2023 - 24,"92,000.00"
33010200567,Lower middle quartile,2023 - 24,"119,000.00"
33009321377,Upper quartile,2023 - 24,"180,000.00"
33009321377,Upper middle quartile,2023 - 24,"105,000.00"
33009321377,Total workforce,2023 - 24,"107,000.00"
33009321377,Lower quartile,2023 - 24,"64,000.00"
33009321377,Lower middle quartile,2023 - 24,"79,000.00"
33009292228,Upper quartile,2023 - 24,"188,000.00"
33009292228,Upper middle quartile,2023 - 24,"132,000.00"
33009292228,Total workforce,2023 - 24,"130,000.00"
33009292228,Lower quartile,2023 - 24,"85,000.00"
33009292228,Lower middle quartile,2023 - 24,"117,000.00"
33008642608,Upper quartile,2023 - 24,"170,000.00"
33008642608,Upper middle quartile,2023 - 24,"93,000.00"
33008642608,Total workforce,2023 - 24,"100,000.00"
33008642608,Lower quartile,2023 - 24,"63,000.00"
33008642608,Lower middle quartile,2023 - 24,"76,000.00"
33008428331,Upper quartile,2023 - 24,"164,000.00"
33008428331,Upper middle quartile,2023 - 24,"136,000.00"
33008428331,Total workforce,2023 - 24,"128,000.00"
33008428331,Lower quartile,2023 - 24,"92,000.00"
33008428331,Lower middle quartile,2023 - 24,"118,000.00"
33008419485,Upper quartile,2023 - 24,"187,000.00"
33008419485,Upper middle quartile,2023 - 24,"73,000.00"
33008419485,Total workforce,2023 - 24,"94,000.00"
33008419485,Lower quartile,2023 - 24,"52,000.00"
33008419485,Lower middle quartile,2023 - 24,"65,000.00"
33008413367,Upper quartile,2023 - 24,"341,000.00"
33008413367,Upper middle quartile,2023 - 24,"222,000.00"
33008413367,Total workforce,2023 - 24,"206,000.00"
33008413367,Lower quartile,2023 - 24,"105,000.00"
33008413367,Lower middle quartile,2023 - 24,"162,000.00"
33007457141,Upper quartile,2023 - 24,"285,000.00"
33007457141,Upper middle quartile,2023 - 24,"167,000.00"
33007457141,Total workforce,2023 - 24,"163,000.00"
33007457141,Lower quartile,2023 - 24,"82,000.00"
33007457141,Lower middle quartile,2023 - 24,"116,000.00"
33006708765,Upper quartile,2023 - 24,"367,000.00"
33006708765,Upper middle quartile,2023 - 24,"167,000.00"
33006708765,Total workforce,2023 - 24,"184,000.00"
33006708765,Lower quartile,2023 - 24,"83,000.00"
33006708765,Lower middle quartile,2023 - 24,"122,000.00"
33006500072,Upper quartile,2023 - 24,"200,000.00"
33006500072,Upper middle quartile,2023 - 24,"123,000.00"
33006500072,Total workforce,2023 - 24,"120,000.00"
33006500072,Lower quartile,2023 - 24,"68,000.00"
33006500072,Lower middle quartile,2023 - 24,"89,000.00"
33006430039,Upper quartile,2023 - 24,"165,000.00"
33006430039,Upper middle quartile,2023 - 24,"103,000.00"
33006430039,Total workforce,2023 - 24,"108,000.00"
33006430039,Lower quartile,2023 - 24,"78,000.00"
33006430039,Lower middle quartile,2023 - 24,"88,000.00"
33006306994,Upper quartile,2023 - 24,"309,000.00"
33006306994,Upper middle quartile,2023 - 24,"189,000.00"
33006306994,Total workforce,2023 - 24,"177,000.00"
33006306994,Lower quartile,2023 - 24,"93,000.00"
33006306994,Lower middle quartile,2023 - 24,"119,000.00"
33006122676,Upper quartile,2023 - 24,"87,000.00"
33006122676,Upper middle quartile,2023 - 24,"64,000.00"
33006122676,Total workforce,2023 - 24,"60,000.00"
33006122676,Lower quartile,2023 - 24,"38,000.00"
33006122676,Lower middle quartile,2023 - 24,"52,000.00"
33005453627,Upper quartile,2023 - 24,"175,000.00"
33005453627,Upper middle quartile,2023 - 24,"105,000.00"
33005453627,Total workforce,2023 - 24,"104,000.00"
33005453627,Lower quartile,2023 - 24,"61,000.00"
33005453627,Lower middle quartile,2023 - 24,"79,000.00"
33004333322,Upper quartile,2023 - 24,"355,000.00"
33004333322,Upper middle quartile,2023 - 24,"214,000.00"
33004333322,Total workforce,2023 - 24,"213,000.00"
33004333322,Lower quartile,2023 - 24,"115,000.00"
33004333322,Lower middle quartile,2023 - 24,"169,000.00"
33004167720,Upper quartile,2023 - 24,"257,000.00"
33004167720,Upper middle quartile,2023 - 24,"159,000.00"
33004167720,Total workforce,2023 - 24,"156,000.00"
33004167720,Lower quartile,2023 - 24,"95,000.00"
33004167720,Lower middle quartile,2023 - 24,"115,000.00"
33003357720,Upper quartile,2023 - 24,"230,000.00"
33003357720,Upper middle quartile,2023 - 24,"155,000.00"
33003357720,Total workforce,2023 - 24,"152,000.00"
33003357720,Lower quartile,2023 - 24,"96,000.00"
33003357720,Lower middle quartile,2023 - 24,"127,000.00"
33003085112,Upper quartile,2023 - 24,"131,000.00"
33003085112,Upper middle quartile,2023 - 24,"83,000.00"
33003085112,Total workforce,2023 - 24,"88,000.00"
33003085112,Lower quartile,2023 - 24,"64,000.00"
33003085112,Lower middle quartile,2023 - 24,"74,000.00"
33002933717,Upper quartile,2023 - 24,"236,000.00"
33002933717,Upper middle quartile,2023 - 24,"172,000.00"
33002933717,Total workforce,2023 - 24,"163,000.00"
33002933717,Lower quartile,2023 - 24,"105,000.00"
33002933717,Lower middle quartile,2023 - 24,"143,000.00"
33002306318,Upper quartile,2023 - 24,"164,000.00"
33002306318,Upper middle quartile,2023 - 24,"128,000.00"
33002306318,Total workforce,2023 - 24,"120,000.00"
33002306318,Lower quartile,2023 - 24,"78,000.00"
33002306318,Lower middle quartile,2023 - 24,"109,000.00"
33002183646,Upper quartile,2023 - 24,"134,000.00"
33002183646,Upper middle quartile,2023 - 24,"105,000.00"
33002183646,Total workforce,2023 - 24,"103,000.00"
33002183646,Lower quartile,2023 - 24,"79,000.00"
33002183646,Lower middle quartile,2023 - 24,"96,000.00"
33001375266,Upper quartile,2023 - 24,"311,000.00"
33001375266,Upper middle quartile,2023 - 24,"203,000.00"
33001375266,Total workforce,2023 - 24,"192,000.00"
33001375266,Lower quartile,2023 - 24,"95,000.00"
33001375266,Lower middle quartile,2023 - 24,"158,000.00"
33000311277,Upper quartile,2023 - 24,"420,000.00"
33000311277,Upper middle quartile,2023 - 24,"237,000.00"
33000311277,Total workforce,2023 - 24,"229,000.00"
33000311277,Lower quartile,2023 - 24,"100,000.00"
33000311277,Lower middle quartile,2023 - 24,"163,000.00"
32993506954,Upper quartile,2023 - 24,"139,000.00"
32993506954,Upper middle quartile,2023 - 24,"101,000.00"
32993506954,Total workforce,2023 - 24,"102,000.00"
32993506954,Lower quartile,2023 - 24,"76,000.00"
32993506954,Lower middle quartile,2023 - 24,"91,000.00"
32930142652,Upper quartile,2023 - 24,"117,000.00"
32930142652,Upper middle quartile,2024 - 25,"112,000.00"
32930142652,Total workforce,2023 - 24,"83,000.00"
32930142652,Lower quartile,2023 - 24,"66,000.00"
32930142652,Lower middle quartile,2023 - 24,"69,000.00"
32797454970,Upper quartile,2023 - 24,"170,000.00"
32797454970,Upper middle quartile,2024 - 25,"138,000.00"
32797454970,Total workforce,2023 - 24,"124,000.00"
32797454970,Lower quartile,2023 - 24,"82,000.00"
32797454970,Lower middle quartile,2023 - 24,"109,000.00"
32730624537,Upper quartile,2023 - 24,"139,000.00"
32730624537,Upper middle quartile,2023 - 24,"109,000.00"
32730624537,Total workforce,2023 - 24,"105,000.00"
32730624537,Lower quartile,2023 - 24,"80,000.00"
32730624537,Lower middle quartile,2023 - 24,"94,000.00"
32720868049,Upper quartile,2023 - 24,"293,000.00"
32720868049,Upper middle quartile,2023 - 24,"190,000.00"
32720868049,Total workforce,2023 - 24,"182,000.00"
32720868049,Lower quartile,2023 - 24,"108,000.00"
32720868049,Lower middle quartile,2023 - 24,"137,000.00"
32685595255,Upper quartile,2023 - 24,"221,000.00"
32685595255,Upper middle quartile,2023 - 24,"119,000.00"
32685595255,Total workforce,2023 - 24,"125,000.00"
32685595255,Lower quartile,2023 - 24,"70,000.00"
32685595255,Lower middle quartile,2023 - 24,"91,000.00"
32684375320,Upper quartile,2023 - 24,"88,000.00"
32684375320,Upper middle quartile,2023 - 24,"67,000.00"
32684375320,Total workforce,2023 - 24,"70,000.00"
32684375320,Lower quartile,2023 - 24,"59,000.00"
32684375320,Lower middle quartile,2023 - 24,"65,000.00"
32665642115,Upper quartile,2023 - 24,"143,000.00"
32665642115,Upper middle quartile,2023 - 24,"89,000.00"
32665642115,Total workforce,2023 - 24,"93,000.00"
32665642115,Lower quartile,2023 - 24,"63,000.00"
32665642115,Lower middle quartile,2023 - 24,"77,000.00"
32641605343,Upper quartile,2023 - 24,"1,208,000.00"
32641605343,Upper middle quartile,2023 - 24,"449,000.00"
32641605343,Total workforce,2023 - 24,"505,000.00"
32641605343,Lower quartile,2023 - 24,"141,000.00"
32641605343,Lower middle quartile,2023 - 24,"229,000.00"
32637241948,Upper quartile,2023 - 24,"138,000.00"
32637241948,Upper middle quartile,2023 - 24,"84,000.00"
32637241948,Total workforce,2023 - 24,"85,000.00"
32637241948,Lower quartile,2023 - 24,"48,000.00"
32637241948,Lower middle quartile,2023 - 24,"70,000.00"
32634225433,Upper quartile,2023 - 24,"244,000.00"
32634225433,Upper middle quartile,2023 - 24,"162,000.00"
32634225433,Total workforce,2023 - 24,"151,000.00"
32634225433,Lower quartile,2023 - 24,"79,000.00"
32634225433,Lower middle quartile,2023 - 24,"122,000.00"
32630495831,Upper quartile,2023 - 24,"233,000.00"
32630495831,Upper middle quartile,2023 - 24,"122,000.00"
32630495831,Total workforce,2023 - 24,"126,000.00"
32630495831,Lower quartile,2023 - 24,"66,000.00"
32630495831,Lower middle quartile,2023 - 24,"84,000.00"
32623565471,Upper quartile,2023 - 24,"263,000.00"
32623565471,Upper middle quartile,2023 - 24,"190,000.00"
32623565471,Total workforce,2023 - 24,"167,000.00"
32623565471,Lower quartile,2023 - 24,"83,000.00"
32623565471,Lower middle quartile,2023 - 24,"135,000.00"
32621415709,Upper quartile,2023 - 24,"173,000.00"
32621415709,Upper middle quartile,2023 - 24,"142,000.00"
32621415709,Total workforce,2023 - 24,"125,000.00"
32621415709,Lower quartile,2023 - 24,"81,000.00"
32621415709,Lower middle quartile,2023 - 24,"104,000.00"
32614478081,Upper quartile,2023 - 24,"201,000.00"
32614478081,Upper middle quartile,2023 - 24,"143,000.00"
32614478081,Total workforce,2023 - 24,"140,000.00"
32614478081,Lower quartile,2023 - 24,"94,000.00"
32614478081,Lower middle quartile,2023 - 24,"123,000.00"
32608053587,Upper quartile,2023 - 24,"323,000.00"
32608053587,Upper middle quartile,2023 - 24,"132,000.00"
32608053587,Total workforce,2023 - 24,"149,000.00"
32608053587,Lower quartile,2023 - 24,"63,000.00"
32608053587,Lower middle quartile,2023 - 24,"86,000.00"
32607985580,Upper quartile,2023 - 24,"257,000.00"
32607985580,Upper middle quartile,2023 - 24,"162,000.00"
32607985580,Total workforce,2023 - 24,"161,000.00"
32607985580,Lower quartile,2023 - 24,"92,000.00"
32607985580,Lower middle quartile,2023 - 24,"134,000.00"
32604857338,Upper quartile,2023 - 24,"68,000.00"
32604857338,Upper middle quartile,2023 - 24,"44,000.00"
32604857338,Total workforce,2023 - 24,"44,000.00"
32604857338,Lower quartile,2023 - 24,"30,000.00"
32604857338,Lower middle quartile,2023 - 24,"35,000.00"
32602623709,Upper quartile,2023 - 24,"123,000.00"
32602623709,Upper middle quartile,2023 - 24,"83,000.00"
32602623709,Total workforce,2023 - 24,"85,000.00"
32602623709,Lower quartile,2023 - 24,"61,000.00"
32602623709,Lower middle quartile,2023 - 24,"74,000.00"
32600980603,Upper quartile,2023 - 24,"237,000.00"
32600980603,Upper middle quartile,2023 - 24,"166,000.00"
32600980603,Total workforce,2023 - 24,"159,000.00"
32600980603,Lower quartile,2023 - 24,"94,000.00"
32600980603,Lower middle quartile,2023 - 24,"140,000.00"
32600120787,Upper quartile,2023 - 24,"134,000.00"
32600120787,Upper middle quartile,2023 - 24,"100,000.00"
32600120787,Total workforce,2023 - 24,"101,000.00"
